City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Lufilufi,WS,2022-08-04 16:05:14,-13.8745,-171.5986,299.28,81,72,10.88
104,Arraial Do Cabo,BR,2022-08-04 16:05:15,-22.9661,-42.0278,297.07,78,0,6.17
105,San Felipe,VE,2022-08-04 16:05:15,10.3399,-68.7425,303.83,58,98,0.46
106,Mar Del Plata,AR,2022-08-04 16:00:30,-38.0023,-57.5575,283.2,75,95,0.89
107,Lac-Megantic,CA,2022-08-04 16:05:16,45.5834,-70.8823,300.32,54,81,4.12
108,Hami,CN,2022-08-04 16:05:17,42.8,93.45,305.77,15,59,4.49
109,Karratha,AU,2022-08-04 16:05:17,-20.7377,116.8463,292.45,37,3,5.37
110,Sibu,MY,2022-08-04 16:05:18,2.3,111.8167,297.08,97,100,0.76
111,Nago,JP,2022-08-04 16:05:18,26.5881,127.9761,300.39,84,85,2.53
112,Tasiilaq,GL,2022-08-04 16:03:03,65.6145,-37.6368,279.24,81,100,1.89
113,Cherskiy,RU,2022-08-04 16:03:26,68.75,161.3,279.91,93,100,1.85
114,Codrington,AU,2022-08-04 16:04:38,-38.2667,141.9667,285.2,71,100,10.89
115,Ramnagar,IN,2022-08-04 16:05:19,29.4,79.1167,299.04,81,98,1.71
116,Katsuura,JP,2022-08-04 16:05:20,35.1333,140.3,297.64,95,100,5.83
117,Kodiak,US,2022-08-04 16:05:20,57.79,-152.4072,286.88,82,20,1.54
118,Severo-Kurilsk,RU,2022-08-04 16:04:27,50.6789,156.125,284.37,90,34,4.43
119,Novyy Urengoy,RU,2022-08-04 16:05:21,66.0833,76.6333,295.13,42,94,2.6
120,Outjo,NA,2022-08-04 16:05:21,-20.1167,16.15,299.14,11,3,3.24
121,Saint Anthony,US,2022-08-04 16:00:25,45.0205,-93.218,298.59,56,0,0.89
122,Anadyr,RU,2022-08-04 16:01:11,64.75,177.4833,283.15,93,38,1.79
123,Saint-Augustin,CA,2022-08-04 16:05:22,51.226,-58.6502,292.77,67,100,6.9
124,Bata,GQ,2022-08-04 16:05:23,1.8639,9.7658,298.6,77,82,4.72
125,Grand Gaube,MU,2022-08-04 16:05:23,-20.0064,57.6608,295.03,69,2,3.13
126,Geraldton,AU,2022-08-04 16:05:24,-28.7667,114.6,285.38,94,100,3.09
127,Santa Rosa,PH,2022-08-04 16:05:24,14.3122,121.1114,298.2,94,100,3.28
128,Labuhan,ID,2022-08-04 16:05:25,-6.8844,112.2051,297.71,78,27,3.24
129,Nikolayevsk-Na-Amure,RU,2022-08-04 16:05:25,53.1406,140.73,288.74,98,97,0.53
130,Sokolovo,RU,2022-08-04 16:05:26,52.5318,84.7896,287.58,65,78,3.22
131,Fortuna,US,2022-08-04 16:05:26,40.5982,-124.1573,289.78,91,100,2.06
132,Bethel,US,2022-08-04 16:05:27,41.3712,-73.414,307.12,58,0,4.12
133,Laguna,US,2022-08-04 16:04:31,38.421,-121.4238,305.9,41,0,4.63
134,Aswan,EG,2022-08-04 16:05:28,24.0934,32.907,314.2,12,13,3.43
135,Airai,TL,2022-08-04 16:05:28,-8.9266,125.4092,286.75,89,43,0.87
