City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Lahat,ID,23.24,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
254,Olinda,BR,25.85,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
256,Hobyo,SO,24.44,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
257,Taiyuan,CN,22.92,mist,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
258,Norfolk,US,29.01,few clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
262,Ishigaki,JP,29.58,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
264,Murgab,TM,24.08,clear sky,37.4966,61.9714,Wepa Nurlyýew
265,Port Blair,IN,27.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
266,Bud,US,29.71,broken clouds,39.447,-86.1758,Ted McQuinn Trust
269,Matara,LK,25.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
270,Carutapera,BR,26.16,broken clouds,-1.195,-46.02,Lidera
273,Dongying,CN,23.55,clear sky,37.4564,118.4856,Wanda Realm
275,Myingyan,MM,27.18,heavy intensity rain,21.4667,95.3833,Yamethin
280,Yenagoa,NG,23.35,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
282,Hohoe,GH,24.23,overcast clouds,7.1518,0.4736,Agumatsa Falls Lodge
284,Faanui,PF,25.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Thoen,TH,23.41,heavy intensity rain,17.6129,99.2161,บ้านห้องนอน
294,Beyneu,KZ,29.28,clear sky,45.3167,55.2,NUR
296,Port Said,EG,27.33,clear sky,31.2565,32.2841,Aracan Hotel
297,Abrau-Dyurso,RU,22.49,scattered clouds,44.69,37.59,Avgustin Inn
299,Salmas,IR,23.38,clear sky,38.1973,44.7653,Ata Hotel
304,Puro,PH,26.27,overcast clouds,12.4841,123.3827,
305,Gat,IL,27.12,clear sky,31.61,34.7642,OlusHome
307,Aksu,CN,27.34,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
310,Sarangani,PH,27.63,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
311,Palmerston,AU,22.99,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
313,Barreirinhas,BR,26.07,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
314,Yanam,IN,25.94,overcast clouds,16.7333,82.2167,The Regency Hotel
321,Alofi,NU,26.94,scattered clouds,-19.0595,-169.9187,Taloa Heights
323,Hopkinton,US,28.47,few clouds,41.4612,-71.7776,Stardust Motel
325,Jobat,IN,24.46,overcast clouds,22.4167,74.5667,Singh house
328,Claveria,PH,26.17,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
330,Nurota,UZ,22.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
332,Pedasi,PA,26.15,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
335,Kochi,IN,26.12,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
336,Lagoa,PT,23.19,light rain,39.05,-27.9833,Casa Das Faias
337,Jambusar,IN,26.91,overcast clouds,22.05,72.8,Hotel Imeprial
339,Natal,BR,25.36,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
340,Ranong,TH,25.77,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
341,Ajdabiya,LY,26.89,clear sky,30.7554,20.2263,Almadina Hotel
343,Bubaque,GW,26.99,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
344,Kimbe,PG,24.0,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
351,Yimnon,GR,27.6,clear sky,38.4333,23.8833,Eretria Hotel & Spa Resort
353,Tiznit,MA,22.72,clear sky,29.5833,-9.5,
357,Gigmoto,PH,26.72,overcast clouds,13.7796,124.39,Cj's Travellers Inn
358,Mayor Pablo Lagerenza,PY,24.61,clear sky,-19.9309,-60.7718,
359,Tadepallegudem,IN,25.21,overcast clouds,16.8333,81.5,Hotel Selection Grand
360,Khash,IR,23.81,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
362,Partyzany,UA,24.69,overcast clouds,46.3314,34.7503,
367,Buluang,PH,24.54,broken clouds,13.3068,123.3425,Sacueza Beach Resort
369,Ararat,AM,25.19,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
372,Kloulklubed,PW,27.76,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
373,Fatehpur,IN,27.64,scattered clouds,25.9333,80.8,Hotel Bombay Lodge
374,Tabou,CI,24.69,overcast clouds,4.423,-7.3528,hotêl doufoulougou
380,Tanete,ID,23.28,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
381,San Policarpo,PH,25.73,overcast clouds,12.1791,125.5072,Agapita M. Nicart
383,Harper,LR,24.63,overcast clouds,4.375,-7.7169,Screensaver
385,Beaverlodge,CA,24.0,broken clouds,55.2166,-119.4361,Side Trax Inn
389,Eureka,US,22.33,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
392,Makokou,GA,22.24,broken clouds,0.5738,12.8642,Hôtel
393,Kamaishi,JP,24.15,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
398,Yatou,CN,22.01,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
403,Natitingou,BJ,22.41,light rain,10.3042,1.3796,Cotonou
405,Varna,BG,23.08,scattered clouds,43.2167,27.9167,Golden Tulip Varna
406,Duki,PK,28.13,broken clouds,30.1541,68.5728,ماسٹر رشید مرحوم
408,Shimoda,JP,25.06,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
411,Petrivka,UA,23.37,overcast clouds,46.9695,30.9591,
415,Garchitorena,PH,26.34,overcast clouds,13.8804,123.6946,Site
416,Santa Rosa,PH,25.62,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
419,Weyburn,CA,22.2,overcast clouds,49.6668,-103.8511,Perfect Inns & Suites
420,Pangai,TO,24.24,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
425,Japura,ID,25.61,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
427,Wewak,PG,24.91,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
428,Sola,VU,25.01,overcast clouds,-13.8833,167.55,Leumerus Bungalows
429,Amapa,BR,28.19,broken clouds,1.0,-52.0,
430,Tessaoua,NE,25.11,scattered clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
433,Pasni,PK,28.18,overcast clouds,25.2631,63.471,Kashmiri Hotal
436,Vidalia,US,25.06,moderate rain,32.2177,-82.4135,Quality Inn & Suites
438,Nan,TH,22.47,overcast clouds,18.8333,100.6667,สะเนียน2
440,Kuching,MY,25.12,few clouds,1.55,110.3333,Hilton Kuching
441,Iracoubo,GF,27.71,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
443,Bonthe,SL,24.53,moderate rain,7.5264,-12.505,Bonthe Holiday Village
444,Totness,SR,28.3,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
445,Vila Velha,BR,22.97,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
447,Haapiti,PF,27.85,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
448,Luwuk,ID,25.19,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
457,Xapuri,BR,29.51,few clouds,-10.6517,-68.5044,Pousada dos Chapurys
461,San Andres,CO,27.52,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
463,Labuhan,ID,25.01,broken clouds,-6.8844,112.2051,DoubleFAG
465,Hauterive,FR,23.42,clear sky,46.0901,3.4459,Aletti Palace Hotel
466,Campbell River,CA,23.03,few clouds,50.0163,-125.2446,Anchor Inn & Suites
467,Dinajpur,BD,26.64,scattered clouds,25.6272,88.6386,Hotel Sahara
469,Kapit,MY,23.86,heavy intensity rain,2.0167,112.9333,Hotel Meligai Kapit
472,Biak,ID,24.49,overcast clouds,-0.9131,122.8766,Penginapan Kim
473,Lethem,GY,29.85,broken clouds,3.3803,-59.7968,Savannah Inn
480,Rayachoti,IN,25.42,overcast clouds,14.05,78.75,ANNAMAYYA FAMILY RESTAURANT
481,Bandarbeyla,SO,24.56,overcast clouds,9.4942,50.8122,JABIR HOTEL
489,Tres Palos,MX,29.26,overcast clouds,18.1833,-101.6167,
492,Vanimo,PG,24.82,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
493,Ternate,ID,26.7,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
494,Novikovo,RU,22.61,scattered clouds,51.1537,37.8879,
496,Normal,US,28.35,scattered clouds,40.5142,-88.9906,"Holiday Inn Express & Suites Bloomington - Normal, an IHG Hotel"
497,La Fleche,FR,27.14,clear sky,47.6982,-0.0755,Le Relais Cicero
499,Namatanai,PG,26.49,light rain,-3.6667,152.4333,Seagulls Inn Namatani
503,Atherton,GB,25.16,clear sky,53.5237,-2.4935,The Mercury Motel
504,Maubeuge,FR,24.03,overcast clouds,50.2788,3.9727,BEST WESTERN Hotel l'Atelier 117
506,Meulaboh,ID,25.2,light rain,4.1363,96.1285,Kost Pria
512,Caravelas,BR,22.95,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
513,Kualakapuas,ID,22.85,broken clouds,-3.0091,114.3876,Guest House Izonk
514,Bafra,TR,24.9,broken clouds,41.5678,35.9069,Sevgi Otel
516,Aplahoue,BJ,23.47,overcast clouds,6.9333,1.6833,Hotel Immaculee
523,Dambulla,LK,24.97,overcast clouds,7.86,80.6517,Tinaya Treats
524,Hattiesburg,US,28.96,broken clouds,31.3271,-89.2903,Quality Inn & Suites
530,Sao Filipe,CV,25.87,few clouds,14.8961,-24.4956,Hotel Xaguate
533,Kouango,CF,22.13,overcast clouds,4.9934,19.9619,
534,Deori Khas,IN,23.66,overcast clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
538,Liverpool,GB,25.3,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
